Soziales Lernen;SOZL
ORDINARIAT;ORD
RELIGION KATHOL.;RK
RELIGION ISLAM.;RISL
RELIGION EVANG.;RE
Religion Serbisch Orthodox;RSOR
ITALIENISCH;I
Spanisch;SPA
Deutsch;D
Englisch;E1
GESCHICHTE;G
Geschichte und politische Bildung;GPB
GESCHICHTE U.S.;GSK
Geographie und Wirtschaftskunde;GWK
GEOGRAPHIE;GE
Wirtschaft u. Rech;WIR3
WIRT.BD.R.+STBKDE.;WBRS
Betriebstechnik;BET
BETRIEBSL.U.KALK.;BTK1
LEIBES?BUNGEN KNAB;LUK
"LEIBES?B.KNAB. ?B;";LUKU
Mathematik und angewandte Mathematik;MAM
DARST. GEOMETRIE;DG1
Angewandte Physik;APH
Phsysik und angewandte Physik;P
ANG.CHEM.?KOLOGIE;ACOL
CHEMIE U.UMWELTTE.;CACU
ELEKTRON.DATENVER.;EDAD
GRUNDLAG.D.MASCHB.;GMB
MASCHINENBAU;MB
MASCHINENKUNDE;MK
GRUNDLAGEN DER ELEKTROTECHNIK;GET
ET U. ELEKTRONIK;ETE
ELEKTROTECHNIK;ET
AKTUELLE FACH L4A;AF4A
ELEKTR.ME?TECHNIK;EMT
ELEKT.MASCH.U.STRO;EMS
ELEKT.MASCHINEN;EMAS
ELEKT. ANLAGEN;EA
EL: ANTRIEBE U LE;EALE
ELEKTRONIK U. M.;ELME
ELEKTRONIK U. NT.;ELN
INDUST.ELEKTR.REG.UEB.;IERU
INDUST.ELEKTR.REG.;IERT
MASCH.ELEMENTE;MEL
F?RDERT. u. T. LOG;FTTL
F?RDERTECHNIK;FOT
STR?MUNGSM. U. ANL;SMA1
STR?MUNGSMASCHINEN;SM
DG U. KONSTURKT.;DGKU
KONSTRUKTIONS?BUNG;KU
ENERGIET.U.LEIST.E;ETLE
ELEKTR.U.DIG.TECHN;EDT
NACHR.TECHN.;NT
HF U.IMPULSTECHN.;HIT
TECHN.INFORMATIK;TINF
ME?TECHN-DIG.TECHN;MTDT
Fertigungstechnik;FTKL
Laboratorium;LA1
WERKSTAETTENLAB.;WLA
WERKSTAETTE;WE5A
Me?- Steurungs- und Regelungstechnik;MSRT
EL.ST.+REGELUNGST.;ESR
FRANZOESISCH;F
COMPUTERSTANDSOFTW;COSS
QUALIT?TSSICHERUNG;QUAL
CHEMIE;KCH
Physik;KPH
MATHEM.U.DG;KMDG
AUDIO-VIS.MEDIEN;KAUD
LABORATORIEN;KLA
GEOGR.U.GESCHICHTE;KGGS
SCH?LERB?CHEREI;KSBU
BETRIEBSWIRT.GST.;KBWG
FACHB?CHEREI;KFBU
ENERGIE U. UMWT.;EUT1
EL: ANLAGEN UMWELT;EAUT
LEHRERB?CHEREI;KLBU
BILDUNGSBERATER;BIB
SICHERHEITSING.;SICH
WERKST.LEITER;WRKL
ABTEILUNGSVORST.;ABTV
DIREKTOR;DIR
ADM.UNTERST.DIREKT;ADM
MITVERWEND. FREMDS;MV
MITVERWENDUNG  L1;MV1
MITVERWENDUNG  L2;MV2
MITVERWENDUNG  L3;MV3
MITVERWENDUNG  L4A;MV4A
MITVERWENDUNG  L5A;MV5A
FACHTH. UNTER. G.;KFTG
K. LABOR MB;KLAM
TURNSAALEINRICHTG.;KTSE
KOMMUNIKATIONSTR.;KMT
LABOR E-TECHNIK;KLAE
LABOR N-TECHNIK;KLAN
EL.DV U. BETR.INF;EBIN
Programmieren und Projektentwicklung;PRPE
Mechanik;ME
Mechanik und Maschinenelemente;MME
WERKSTOFF U.FERTT.;WSFT
FERTIGUNGSTECHNIK;FET
MITARBEITERF?HRUNG;MITF
ENERGIE-UMWELTTECH;EUTG
B?CHEREI;NBU
EL.MASCH.U.LEISTUN;EML
STEUER-REGELUNGST.;SRUT
ANG. MATHEMATIK;AM
Betriebsinformatik;BINF
ANGE. INFORMATIK;AINF
ALLG. E-TECHNIK;AET
ANG. PHYSIK UND CH;APHC
GRUNDL. ET. U. EL.;GETE
NEBENLEISTG. DVA;NDVA
NEBENLEISTG. CAD;NCAD
KONSTR. U. PRODUKT;KONP
Konstruktion und Projektmanagement;KOP1
Technische Mechanik und Berechnung;TMB
LEIBES?BUNG;LU
Komm. u. Pr?;KPR2
Grundlagen der EDV;GEDV
Netzwerktechnik;NWTK
Ingenieurprojekt;ING1
